rank,model_name,status,mae,mse,rmse,r2,note
1.0,RandomForestRegressor,completed,0.32681185043604677,0.2539759249192041,0.5039602414072009,0.8061857564039718,
2.0,DecisionTreeRegressor,completed,0.45467918846899225,0.495235205629094,0.7037294974840077,0.622075845135081,
3.0,LinearRegression,completed,0.5332001304956565,0.5558915986952444,0.7455813830127764,0.5757877060324508,
